etadB,keyRatePS
0,0.486144010881893
2,0.276896255027851
4,0.1595546690185
6,0.090773806343485
8,0.0521302460721846
10,0.0300498856075589
12,0.0169868643887556
14,0.00955957432168242
16,0.00531895021672042
18,0.00285940100315749
20,0.00149210778587585
22,0.000722249788127943
24,0.000330763181792927
26,0.000122797552418268
28,2.66171481866786e-05
30,-1.44872333366155e-05
32,-1.90902924743633e-05
34,-1.56203691069676e-05
36,-1.18420953684303e-05
38,-1.08600661945179e-05
40,-1.00462040479675e-05
42,0
44,0
46,0
48,0
50,0
