logRenyiAlpha,probTest,decoy_1
-5,0.0119140625,0.9125
-5,0.02021484375,0.85
-4.25,0.04755859375,0.85
-4.125,0.0626953125,0.85
-4.125,0.0607421875,0.7875
-4,0.06171875,0.7875
-4,0.0607421875,0.75625
-4,0.0595214843750000,0.725000000000000
-4.03125000000000,0.0568359375000000,0.662500000000000
-4,0.0597656250000000,0.631250000000000
-4.06250000000000,0.0535400390625000,0.600000000000000
-4,0.0539062500000000,0.600000000000000
-3.93125000000000,0.0564453125000000,0.531250000000000
-3.96875000000000,0.0500000000000000,0.506250000000000
-3.93750000000000,0.0490722656250000,0.496875000000000
-3.50000000000000,0.0846386718750000,0.507812500000000
-3.41875000000000,0.0859863281250000,0.484375000000000
-2.77500000000000,0.155859375000000,0.500000000000000
-2.90000000000000,0.149218750000000,0.475781250000000
-2.35000000000000,0.239453125000000,0.449609375000000
-1.08750000000000,0.284228515625000,0.475000000000000
-1,0.146093750000000,0.236425781250000
-0.662500000000000,0.178613281250000,0.300000000000000
-0.725,0.14248046875,0.3
0,0,0
0,0,0
