logRenyiAlpha,probTest,decoy_1
-3.87500000000000,0.0373046875000000,0.975000000000000
-3.62500000000000,0.0568359375000000,0.850000000000000
-3.93750000000000,0.0680664062500000,0.850000000000000
-3.87500000000000,0.0719726562500000,0.850000000000000
-3.75000000000000,0.0802734375000000,0.850000000000000
-3,0.166845703125000,0.803125000000000
-2.50000000000000,0.210400390625000,0.378125000000000
-2.50000000000000,0.198370361328125,0.378906250000000
-2.50000000000000,0.233007812500000,0.615625000000000
-2.50000000000000,0.231420898437500,0.585937500000000
-2.22500000000000,0.310205078125000,0.737500000000000
-2.22500000000000,0.235986328125000,0.300000000000000
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
