logRenyiAlpha,probTest,decoy_1
-3,0.0846923828125000,0.971875000000000
-2.86250000000000,0.0897949218750000,0.800000000000000
-3,0.177343750000000,0.850000000000000
-3,0.179492187500000,0.937500000000000
-3,0.174658203125000,0.800000000000000
-3,0.182177734375000,0.834375000000000
-3,0.174389648437500,0.800000000000000
-0.525000000000000,0.0903320312500000,0.250000000000000
-0.800000000000000,0.0892578125000000,0.525000000000000
-0.525000000000000,0.00976562499999999,0.112500000000000
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
