logRenyiAlpha,probTest,decoy_1
-4.50000000000000,0.0197265625000000,0.975000000000000
-4.50000000000000,0.0358398437500000,0.881250000000000
-4.25000000000000,0.0475585937500000,0.850000000000000
-4.12500000000000,0.0626953125000000,0.850000000000000
-4.12500000000000,0.0607421875000000,0.787500000000000
-4,0.0617187500000000,0.787500000000000
-4,0.0607421875000000,0.756250000000000
-4,0.0597656250000000,0.725000000000000
-4,0.0595214843750000,0.725000000000000
-4,0.0574462890625000,0.662500000000000
-3.93750000000000,0.0602539062500000,0.600000000000000
-3.93750000000000,0.0602539062500000,0.600000000000000
-3.96875000000000,0.0556152343750000,0.600000000000000
-3.42500000000000,0.0922729492187500,0.609375000000000
-3.3,0.11,0.59
-3.25000000000000,0.102832031250000,0.475000000000000
-2.75000000000000,0.156875000000000,0.443750000000000
-3,0.112402343750000,0.350000000000000
-1.62500000000000,0.0710449218750000,0.225000000000000
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0


