logRenyiAlpha,probTest,decoy_1
-4.25000000000000,0.0255859375000000,0.975000000000000
-4.50000000000000,0.0358398437500000,0.881250000000000
-4.03125000000000,0.0609863281250000,0.850000000000000
-4,0.0631835937500000,0.834375000000000
-4,0.0617187500000000,0.787500000000000
-4,0.0617187500000000,0.787500000000000
-4,0.0607421875000000,0.756250000000000
-4,0.0597656250000000,0.725000000000000
-3.57500000000000,0.0902636718750000,0.712500000000000
-3.43750000000000,0.101591796875000,0.706250000000000
-2.88750000000000,0.207519531250000,0.656250000000000
-2.75000000000000,0.227197265625000,0.681250000000000
-2.50000000000000,0.233398437500000,0.746093750000000
-2.50000000000000,0.207812500000000,0.432812500000000
-2.50000000000000,0.198937988281250,0.300000000000000
-2.50000000000000,0.250195312500000,0.581250000000000
-2.50000000000000,0.160781250000000,0.425000000000000
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
