logRenyiAlpha,probTest,decoy_1
-3.87500000000000,0.0431640625000000,0.975000000000000
-3.75000000000000,0.0568359375000000,0.975000000000000
-3.62500000000000,0.0626953125000000,0.912500000000000
-3.50000000000000,0.0753906250000000,0.912500000000000
-3.37500000000000,0.0744140625000000,0.881250000000000
-3.06250000000000,0.114453125000000,0.881250000000000
-3,0.114453125000000,0.850000000000000
-2.87500000000000,0.116406250000000,0.850000000000000
-2.70625000000000,0.135878906250000,0.818750000000000
-2.75000000000000,0.113720703125000,0.850000000000000
-2.75000000000000,0.146679687500000,0.850000000000000
-2.22,0.106,0.787500000000000
-1,0.117871093750000,0.350000000000000
-0.500000000000000,0.0343750000000000,0.100000000000000
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
