logRenyiAlpha,probTest,decoy_1
-4.6875,0.021875,0.9125
-5,0.01796875,0.865625
-4.75,0.021875,0.85
-4.625,0.021875,0.81875
-4.25,0.0375,0.81875
-4.125,0.0375,0.834375
-4.25,0.0375,0.75625
-4.125,0.04140625,0.7875
-3.75,0.053125,0.7875
-3.75,0.06875,0.7875
-3.5,0.06875,0.70546875
-3.125,0.115625,0.709375
-3.25,0.084375,0.6625
-3.0625,0.1000,0.646875
-2.9375,0.11171875,0.6078125
-2.8125,0.1234375,0.56875
-2.625,0.14296875,0.56875
-2.625,0.11953125,0.6000
-2,0.1625,0.365625
-1.5,0.19375,0.1
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
