logRenyiAlpha,probTest,decoy_1
-5,0.0148437500000000,0.912500000000000
-5,0.0192382812500000,0.881250000000000
-4.50000000000000,0.0285156250000000,0.850000000000000
-4.50000000000000,0.0260742187500000,0.850000000000000
-4.50000000000000,0.0270507812500000,0.850000000000000
-4.25000000000000,0.0431640625000000,0.834375000000000
-4.25000000000000,0.0304687500000000,0.787500000000000
-4,0.0441406250000000,0.787500000000000
-4,0.0421875000000000,0.725000000000000
-4,0.0480468750000000,0.725000000000000
-4,0.0412109375000000,0.631250000000000
-4,0.0431640625000000,0.654687500000000
-4,0.0363281250000000,0.611718750000000
-3.43750000000000,0.0675781250000000,0.670312500000000
-3,0.111523437500000,0.646875000000000
-3.81250000000000,0.0373046875000000,0.568750000000000
-3,0.108593750000000,0.600000000000000
-3,0.0990625000000000,0.550000000000000
-3,0.0863281250000000,0.551562500000000
-2.93750000000000,0.0882812500000000,0.502148437500000
-2.62500000000000,0.123632812500000,0.517187500000000
-2.50000000000000,0.123476562500000,0.490625000000000
0,0,0
0,0,0
0,0,0
0,0,0
