logRenyiAlpha,probTest,decoy_1
-4.25000000000000,0.0294921875000000,0.975000000000000
-4.25000000000000,0.0353515625000000,0.975000000000000
-4.25000000000000,0.0363281250000000,0.912500000000000
-4,0.0485351562500000,0.865625000000000
-3.99218750000000,0.0460937500000000,0.850000000000000
-3.87500000000000,0.0475585937500000,0.850000000000000
-3.87500000000000,0.0480468750000000,0.787500000000000
-3.50000000000000,0.0739257812500000,0.803125000000000
-3.50000000000000,0.0714843750000000,0.850000000000000
-3.50000000000000,0.0675781250000000,0.850000000000000
-3,0.112255859375000,0.756250000000000
-2.96875000000000,0.112695312500000,0.727343750000000
-2.80000000000000,0.129653320312500,0.700000000000000
-2.62500000000000,0.153710937500000,0.684375000000000
-2.75000000000000,0.129296875000000,0.700000000000000
-2.25000000000000,0.171289062500000,0.637500000000000
-2,0.115625000000000,0.668750000000000
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
