etadB,keyRateEUR
-0,0.676966236416111
2,0.426643581450514
4,0.26880151498445
6,0.169290102400409
8,0.106566233572659
10,0.0670408184180687
12,0.0421420612405127
14,0.0264639616547056
16,0.0165970543250941
18,0.0103915687393104
20,0.00649212549103304
22,0.00404457069336862
24,0.00251018934282257
26,0.00155025779256135
28,0.000950767000677741
30,0.000577841146305472
32,0.000346454879263426
34,0.000209071937642701
36,0.000124724456023904
38,7.28579357376666e-05
40,4.22951289829074e-05
42,2.39281732126354e-05
44,1.32602544921088e-05
46,7.06242906947174e-06
48,3.56177585407089e-06
50,1.63903126665011e-06
