logRenyiAlpha,probTest
-4.6875,0.01796875
-4.375,0.02578125
-4.375,0.023828125
-4.3125,0.02578125
-4.0625,0.031640625
-3.9375,0.03359375
-3.75,0.039697265625
-3.625,0.0453125
-3.5,0.04921875
-3.25,0.0599609375
-3.25,0.05703125
-2.875,0.08046875
-2.9375,0.0765625
-2.75,0.086328125
-2.625,0.090234375
-2.1875,0.160546875
-2.125,0.15859375
-1.75,0.2328125
-1.9375,0.1703125
-1.5,0.240625
-1.5,0.21915625
-1.432,0.23
-1.3,0.233203125
-1.25,0.2083984375
0,0
0,0
