logRenyiAlpha,probTest
-2.4375,0.115625
-2.25,0.137109375
-2,0.1654296875
-1.75,0.2015625
-1.5,0.23671875
-1.5,0.2328125
-1.25,0.2796875
-1.125,0.36953125
-1.03125,0.4271484375
-1,0.18935546875
-0.875,0.187890625
-0.84375,0.191796875
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
