logRenyiAlpha,probTest
-3.1875,0.062890625
-3.03125,0.07265625
-2.875,0.082421875
-2.75,0.084375
-2.71875,0.084375
-2.4375,0.1234375
-2.25,0.1390625
-2,0.160546875
-1.9375,0.17421875
-1.75,0.199609375
-1.5,0.2328125
-1.375,0.24453125
-1.315625,0.241015625
-1.25,0.215234375
-1,0.2005859375
-1.3125,0.4994140625
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
