logRenyiAlpha,probTest
-3.9375,0.03359375
-3.75,0.0404296875
-3.625,0.0453125
-3.5,0.04921875
-3.3125,0.058984375
-3.1875,0.066796875
-3.03125,0.0765625
-2.875,0.08046875
-2.6875,0.09609375
-2.6875,0.08583984375
-2.375,0.1166015625
-2.125,0.16103515625
-2,0.16884765625
-1.9375,0.17421875
-1.75,0.19765625
-1.5,0.23671875
-1.375,0.26015625
-1.422,0.244
-1.25,0.211328125
-1,0.207666015625
0,0
0,0
0,0
0,0
0,0
0,0
