logRenyiAlpha,probTest,decoy_1
-4.25,0.0255859375,0.975
-4.5,0.03583984375,0.88125
-4.03125,0.060986328125,0.85
-4,0.06318359375,0.834375
-4,0.06171875,0.7875
-4,0.06171875,0.7875
-4,0.0607421875,0.75625
-4,0.059765625,0.725
-3.6375,0.088798828125,0.775
-3.5,0.0979296875,0.70625
-2.6375,0.22900390625,0.4375
-2.5,0.235986328125,0.36875
-2.5,0.2236328125,0.30859375
-2.5,0.19892578125,0.3
-2.5,0.2077880859375,0.3
-2.5,0.25263671875,0.64375
-2.4828125,0.190869140625,0.3
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
