logRenyiAlpha,probTest,decoy_1
-4.25,0.0294921875,0.975
-4.25,0.0353515625,0.975
-4.25,0.036328125,0.9125
-4,0.04853515625,0.865625
-3.9921875,0.04609375,0.85
-3.875,0.04755859375,0.85
-3.875,0.048046875,0.7875
-3.5,0.07392578125,0.803125
-3.5,0.071484375,0.85
-3.5,0.067578125,0.85
-3,0.112255859375,0.75625
-3,0.109765625,0.73125
-2.875,0.1107421875,0.73125
-2.625,0.1185546875,0.7
-2.75,0.113671875,0.7
-2.5,0.1712890625,0.575
-2,0.11171875,0.7
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
