etadB,keyRateEUR
-0,0.161633691727365
2,0.0990754218912865
4,0.0607676493788488
6,0.0372822491338551
8,0.0228554031994078
10,0.0139822437249352
12,0.00852498445164541
14,0.00517306815237409
16,0.00311960588880849
18,0.00186643843150939
20,0.00110563264795476
22,0.000646855388524299
24,0.000372597447977026
26,0.000210462185878514
28,0.000115979937699275
30,6.19425914517668e-05
32,3.17871427264787e-05
34,1.54966925092489e-05
36,7.06726527926731e-06
38,2.94771528332867e-06
40,1.08195264151176e-06
42,3.20245059661121e-07
44,5.38145078256652e-08
46,0
48,0
50,0
