logrenyiAlpha,epsilonInt,Ntot,iteration
-3.874755859375,0,10000000000,64
-3.68528747558594,0,10000000000,65
-3.53227996826172,0,10000000000,66
-3.6240234375,0,10000000000,67
-3.4383544921875,0,10000000000,68
-3.5,0,10000000000,69
-3.248046875,0,10000000000,70
-3.17279052734375,0,10000000000,71
-3.09161376953125,0,10000000000,72
-3.000244140625,0,10000000000,73
-3.09375,0,10000000000,74
-2.8824462890625,0,10000000000,75
-2.7373046875,0,10000000000,76
-2.65234375,0,10000000000,77
-2.65625,0,10000000000,78
-2.5859375,0,10000000000,79
-2.537109375,0,10000000000,80
-2.4453125,0,10000000000,81
-2.265625,0,10000000000,82
-2.275390625,0,10000000000,83
-2.3504638671875,0,10000000000,84
