logrenyiAlpha,epsilonInt,Ntot,iteration
-3.9375,0.25,10000000000,106
-3.71728515625,0.25,10000000000,107
-3.87890625,0.25,10000000000,108
-3.4921875,0.25,10000000000,109
-3.616943359375,0.25,10000000000,110
-3.355224609375,0.25,10000000000,111
-3.3896484375,0.25,10000000000,112
-3.3603515625,0.25,10000000000,113
-3.09370422363281,0.25,10000000000,114
-3.028076171875,0.25,10000000000,115
-2.93359375,0.25,10000000000,116
-2.82444763183594,0.25,10000000000,117
-2.90625,0.25,10000000000,118
-2.6673828125,0.25,10000000000,119
-2.71092224121094,0.25,10000000000,120
-2.5010986328125,0.25,10000000000,121
-2.5906982421875,0.25,10000000000,122
-2.48468017578125,0.25,10000000000,123
-2.31833267211914,0.25,10000000000,124
-2.5086669921875,0.25,10000000000,125
-2.216796875,0.25,10000000000,126
