logrenyiAlpha,epsilonInt,Ntot,iteration
-3.0107421875,0,100000000,19
-2.93896484375,0,100000000,20
-2.8206787109375,0,100000000,21
-2.74998474121094,0,100000000,22
-2.63287353515625,0,100000000,23
-2.54683685302735,0,100000000,24
-2.4375,0,100000000,25
-2.31746673583984,0,100000000,26
-2.20894622802734,0,100000000,27
-2.1871337890625,0,100000000,28
-2.08209228515625,0,100000000,29
-2.09375,0,100000000,30
-2.12561798095703,0,100000000,31
-2.0311279296875,0,100000000,32
-2.02273178100586,0,100000000,33
-2.0982666015625,0,100000000,34
