logRenyiAlpha
-3.28115294937453
-3.4249544601671
-3.30668444093897
-3.17543576086254
-3.05042983368276
-3.01902403154363
-2.820445753263
-2.73340989545898
-2.65120357611179
-2.59812260076208
-2.52222221804679
-2.44919797442341
-2.39290263316846
-2.21884705062547
-2.21884705062547
-1.94593708092467
-2
-1.99540176327809
-1.8
-1.8
-1.56230589874905
