logRenyiAlpha
-2.92703486264174
-2.87487508956552
-2.79210690997815
-2.68857053578214
-2.58701405476206
-2.50065922472252
-2.37264850536060
-2.29752475593806
-2.33394420802560
-2.30167994677697
-2.21106506820360
-2.09858580139902
-2.06
-1.8
-1.75
-1.75782970986136
0
0
0
0
0
