logrenyiAlpha,epsilonInt,Ntot,iteration
-3.81494140625,0.1,10000000000,85
-3.8673095703125,0.1,10000000000,86
-3.43753051757812,0.1,10000000000,87
-3.72654724121094,0.1,10000000000,88
-3.5625,0.1,10000000000,89
-3.51482391357422,0.1,10000000000,90
-3.248779296875,0.1,10000000000,91
-3.30511474609375,0.1,10000000000,92
-3.14044189453125,0.1,10000000000,93
-3.09228515625,0.1,10000000000,94
-2.92431640625,0.1,10000000000,95
-2.81274032592773,0.1,10000000000,96
-2.76562118530273,0.1,10000000000,97
-2.674072265625,0.1,10000000000,98
-2.63910217285156,0.1,10000000000,99
-2.5625,0.1,10000000000,100
-2.43798828125,0.1,10000000000,101
-2.44918823242188,0.1,10000000000,102
-2.33395385742188,0.1,10000000000,103
-2.38262939453125,0.1,10000000000,104
-2.16600799560547,0.1,10000000000,105
