logrenyiAlpha,epsilonInt,Ntot,iteration
-3.012939453125,0,100000000,18
-2.92333984375,0,100000000,19
-2.8519287109375,0,100000000,20
-2.73338317871094,0,100000000,21
-2.78910827636719,0,100000000,22
-2.54880523681641,0,100000000,23
-2.5,0,100000000,24
-2.32506561279297,0,100000000,25
-2.16400146484375,0,100000000,26
-2.1383056640625,0,100000000,27
-2.00396728515625,0,100000000,28
-1.96875,0,100000000,29
-1.87427520751953,0,100000000,30
-1.8582763671875,0,100000000,31
-1.51809310913086,0,100000000,32
-0.6700439453125,0,100000000,33
