logrenyiAlpha,epsilonInt,Ntot,iteration
-4.21923065185547,0.25,10000000000,104
-3.59228515625,0.25,10000000000,105
-3.503662109375,0.25,10000000000,106
-3.99223327636719,0.25,10000000000,107
-3.74151611328125,0.25,10000000000,108
-3.355224609375,0.25,10000000000,109
-3.89349365234375,0.25,10000000000,110
-3.0634765625,0.25,10000000000,111
-3.46919250488281,0.25,10000000000,112
-3.090576171875,0.25,10000000000,113
-2.93408203125,0.25,10000000000,114
-2.76194763183594,0.25,10000000000,115
-3.15625,0.25,10000000000,116
-2.54800109863282,0.25,10000000000,117
-2.60150527954102,0.25,10000000000,118
-2.251953125,0.25,10000000000,119
-1.3134765625,0.25,10000000000,120
