logrenyiAlpha,epsilonInt,Ntot,iteration
-4.31201171875,0.1,10000000000,83
-3.71014404296875,0.1,10000000000,84
-3.43753051757812,0.1,10000000000,85
-3.72691345214844,0.1,10000000000,86
-3.67962646484375,0.1,10000000000,87
-3.42108154296875,0.1,10000000000,88
-3.373779296875,0.1,10000000000,89
-2.9208984375,0.1,10000000000,90
-2.79158020019531,0.1,10000000000,91
-3.283447265625,0.1,10000000000,92
-2.7305908203125,0.1,10000000000,93
-3.07461547851562,0.1,10000000000,94
-2.70312118530273,0.1,10000000000,95
-2.7218017578125,0.1,10000000000,96
-2.51410217285156,0.1,10000000000,97
-2.500244140625,0.1,10000000000,98
-2.35986328125,0.1,10000000000,99
-2.34365844726563,0.1,10000000000,100
-2.09969711303711,0.1,10000000000,101
-1.40210342407227,0.1,10000000000,102
-0.596923828125,0.1,10000000000,103
