logRenyiAlpha
-2.84356689453125
-2.87506103515625
-3.060546875
-2.9375
-2.56442260742188
-2.6248779296875
-2.50592041015625
-2.3203125
-2.093505859375
-2.3876953125
-1.99998474121094
-1.93701171875
-1.814453125
-1.552734375
-1.364375
-0.7721875
0
0
0
0
0
