logrenyiAlpha,epsilonInt,Ntot,iteration
-3.00390625,0.1,100000000,34
-3.0811767578125,0.1,100000000,35
-3.03900146484375,0.1,100000000,36
-3.06421279907227,0.1,100000000,37
-2.80039978027344,0.1,100000000,38
-2.7685546875,0.1,100000000,39
-2.6953125,0.1,100000000,40
-2.48410034179688,0.1,100000000,41
-2.2587890625,0.1,100000000,42
-2.2552490234375,0.1,100000000,43
-2.10345458984375,0.1,100000000,44
-2.03466796875,0.1,100000000,45
-1.75631713867188,0.1,100000000,46
-1.5058479309082,0.1,100000000,47
-0.606437683105469,0.1,100000000,48
